year,state,region,fao,common_name,sub_group,isscaap,major_group,type,count,count_metric,weight,weight_metric,bushels,usd_value_2018inflation,tonnes
2016,Alabama,GOM,"Atlantic, Western Central",oyster,oyster,Oysters,mollusc,food,2698755,# sold,NA,NA,NA,NA,NA
2017,Alabama,GOM,"Atlantic, Western Central",oyster,oyster,Oysters,mollusc,food,1460513,# sold,NA,NA,NA,NA,NA
2018,Alabama,GOM,"Atlantic, Western Central",oyster,oyster,Oysters,mollusc,food,1643786,# sold,NA,NA,NA,NA,NA
2019,Alabama,GOM,"Atlantic, Western Central",oyster,oyster,Oysters,mollusc,food,2366979,# sold,NA,NA,NA,NA,NA
1990,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,10410,lb sold,NA,59529.87,4.7
1990,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,214493,# sold,NA,NA,NA,132944.73,NA
1991,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,17076,lb sold,NA,54634.03,7.7
1991,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,243985,# sold,NA,NA,NA,148903.00,NA
1992,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,757688,# sold,NA,NA,NA,468172.71,NA
1993,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1147035,# sold,NA,NA,NA,760656.56,NA
1994,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,3263,lb sold,NA,14158.45,1.5
1994,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,850001,# sold,NA,NA,NA,511611.72,NA
1995,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,4334,lb sold,NA,17145.79,2
1995,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,859924,# sold,NA,NA,NA,479244.99,NA
1996,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,6935,lb sold,NA,26459.20,3.1
1996,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,774150,# sold,NA,NA,NA,459409.60,NA
1997,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,35014,lb sold,NA,146904.99,15.9
1997,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,6153,lb sold,NA,20917.79,2.8
1997,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,822144,# sold,NA,NA,NA,472531.41,NA
1998,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,28166,lb sold,NA,137152.08,12.8
1998,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,4731,lb sold,NA,19319.52,2.1
1998,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,923982,# sold,NA,NA,NA,585117.70,NA
1999,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,38666,lb sold,NA,186949.38,17.5
1999,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,4558,lb sold,NA,17460.10,2.1
1999,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,896355,# sold,NA,NA,NA,555463.62,NA
2000,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,2999,lb sold,NA,10226.41,1.4
2000,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,715001,# sold,NA,NA,NA,452290.55,NA
2001,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,35700,lb sold,NA,149095.75,16.2
2001,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,1830,lb sold,NA,6578.48,0.8
2001,Alaska,Pacific/Arctic,"Pacific, Northeast",other,other,NEO,other,food,5143,# sold,NA,NA,NA,2507.37,NA
2001,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,671537,# sold,NA,NA,NA,397897.53,NA
2002,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,40726,lb sold,NA,160593.05,18.5
2002,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,3361,lb sold,NA,7564.92,1.5
2002,Alaska,Pacific/Arctic,"Pacific, Northeast",other,other,NEO,other,food,4217,# sold,NA,NA,NA,3365.76,NA
2002,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,998790,# sold,NA,NA,NA,603208.81,NA
2003,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,61658,lb sold,NA,203281.26,28
2003,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,2322,lb sold,NA,8850.66,1.1
2003,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1083138,# sold,NA,NA,NA,653611.14,NA
2004,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,68453,lb sold,NA,208548.01,31
2004,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,1260,lb sold,NA,4046.81,0.6
2004,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1236208,# sold,NA,NA,NA,630536.08,NA
2005,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,43234,lb sold,NA,133450.79,19.6
2005,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,2224,lb sold,NA,8112.09,1
2005,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1344534,# sold,NA,NA,NA,731944.90,NA
2006,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,46082,lb sold,NA,163138.78,20.9
2006,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,359,lb sold,NA,1366.86,0.2
2006,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1213212,# sold,NA,NA,NA,612645.74,NA
2007,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,14374,lb sold,NA,48679.78,6.5
2007,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,479,lb sold,NA,1806.81,0.2
2007,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,968232,# sold,NA,NA,NA,547091.05,NA
2008,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,9520,lb sold,NA,29219.96,4.3
2008,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,978,lb sold,NA,4009.87,0.4
2008,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,800244,# sold,NA,NA,NA,512473.32,NA
2009,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,7839,lb sold,NA,29066.31,3.6
2009,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,1988,lb sold,NA,7733.70,0.9
2009,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,787204,# sold,NA,NA,NA,516883.77,NA
2010,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,8446,lb sold,NA,30342.53,3.8
2010,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,1573,lb sold,NA,7651.58,0.7
2010,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,781162,# sold,NA,NA,NA,449821.44,NA
2011,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,6263,lb sold,NA,32120.71,2.8
2011,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,1013,lb sold,NA,6092.24,0.5
2011,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,858368,# sold,NA,NA,NA,548406.86,NA
2012,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,1287,lb sold,NA,8867.96,0.6
2012,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,812457,# sold,NA,NA,NA,575421.03,NA
2013,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,1889,lb sold,NA,10604.29,0.9
2013,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1218851,# sold,NA,NA,NA,767908.99,NA
2014,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,9594,lb sold,NA,45741.83,4.4
2014,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1203898,# sold,NA,NA,NA,874463.47,NA
2015,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,16688,lb sold,NA,74977.20,7.6
2015,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1167246,# sold,NA,NA,NA,845858.25,NA
2016,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,42695,lb sold,NA,237026.74,19.4
2016,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,4975,lb sold,NA,21911.61,2.3
2016,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1323599,# sold,NA,NA,NA,1023632.34,NA
2017,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,11456,lb sold,NA,41428.99,5.2
2017,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,1790,lb sold,NA,7693.31,0.8
2017,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1802437,# sold,NA,NA,NA,1303191.55,NA
2017,Alaska,Pacific/Arctic,"Pacific, Northeast",plants,seaweed,Aquatic plants,aquatic plant,food,NA,NA,16570,lb sold,NA,15959.04,7.5
2018,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,1270,lb sold,NA,7113.00,0.6
2018,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1914292,# sold,NA,NA,NA,1345804.00,NA
2018,Alaska,Pacific/Arctic,"Pacific, Northeast",plants,seaweed,Aquatic plants,aquatic plant,food,NA,NA,89279,lb sold,NA,58167.00,40.5
1971,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1971,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1971,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,4.84
1971,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1971,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1971,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1971,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1971,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,94.01
1972,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1972,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1972,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,6.26
1972,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1972,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1972,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1972,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1972,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,207.92
1973,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1973,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1973,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1973,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1973,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1973,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1973,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1973,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,169.37
1974,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1974,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1974,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1974,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1974,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1974,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1974,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1974,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,209.96
1975,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1975,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1975,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1975,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1975,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1975,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1975,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1975,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,179.71
1976,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1976,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1976,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1976,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,4.42
1976,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1976,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1976,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1976,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,158.28
1977,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1977,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1977,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1977,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1977,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1977,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1977,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1977,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,148.17
1978,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1978,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1978,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1978,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1978,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1978,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1978,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1978,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,100.27
1979,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1979,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1979,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1979,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1979,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1979,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1979,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1979,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,140.71
1980,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1980,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1980,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1980,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1980,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1980,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1980,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1980,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,75.45
1981,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1981,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1981,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1981,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1981,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1981,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,0
1981,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1981,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,155.37
1982,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1982,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1982,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1982,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1982,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1982,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,4.12
1982,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,2.9
1982,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,133.03
1983,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1983,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1983,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1983,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1983,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1983,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,6.74
1983,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1983,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,118.89
1984,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,0
1984,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1984,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1984,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1984,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1984,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,7.34
1984,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1984,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,159.48
1985,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,7.35
1985,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
1985,California,Pacific,"Pacific, Northeast",eastern oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1985,California,Pacific,"Pacific, Northeast",european flat oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1985,California,Pacific,"Pacific, Northeast",kumamoto oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1985,California,Pacific,"Pacific, Northeast",mussels,mussel,Mussels,mollusc,food,NA,number harvested,,NA,NA,NA,8.24
1985,California,Pacific,"Pacific, Northeast",olympia oyster (native),oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,0
1985,California,Pacific,"Pacific, Northeast",pacific oyster,oyster,Oysters,mollusc,food,NA,number harvested,,NA,NA,NA,173.88
1986,California,Pacific,"Pacific, Northeast",abalone,abalone,Abalone,mollusc,food,NA,number harvested,,NA,NA,NA,23.98
1986,California,Pacific,"Pacific, Northeast",clams,clam,"Clams, cockles, arkshells",mollusc,food,NA,number harvested,,NA,NA,NA,0
